what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850230445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850263132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850264143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850334075
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextSubTab",1303850335605
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.previousSubTab",1303850336441
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1303850337915
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1303850340866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1303850341114
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1303850342010
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303850342370
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.select.previous",1303850344340
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.select.next",1303850344751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850347773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850351473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850352364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850390377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextTab",1303850391406
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850392066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.previousTab",1303850392066
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850392653
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextTab",1303850392653
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850393334
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.previousTab",1303850393334
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850393883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextTab",1303850393883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850400167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850408363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850409565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850448321
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850450709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.previousTab",1303850450709
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303850458261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextTab",1303850458261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.nextTab",1303850458328
